Instruction,Format,Opcode,Funct,x
BEQ,B,16,,
BNE,B,17,,
J,J,2,,
JAL,J,3,,
BEQI,B,8,,
BNEI,B,9,,
BLTI,B,10,,
BGEI,B,11,,
BLTUI,B,12,,
BGEUI,B,13,,
JR,B,14,,
JALR,B,15,,
BLT,B,18,,
BGE,B,19,,
BLTU,B,20,,
BGEU,B,21,,
LOOP,B,22,,
LOOPD,B,23,,
LBU,I,24,0,
LHU,I,24,1,
LWU,I,24,2,
LDU,I,24,3,
LB,I,24,4,
LH,I,24,5,
LW,I,24,6,
LD,I,24,7,
SB,I,25,0,
SH,I,25,1,
SW,I,25,2,
SD,I,25,3,
ADD,I,32,0,
NADD,I,32,1,
AND,I,32,2,
CAND,I,32,3,
OR,I,33,4,
COR,I,33,5,
XOR,I,33,6,
SET,I,33,7,
EQ,I,34,8,
NE,I,34,9,
LT,I,34,10,
GE,I,34,11,
LTU,I,35,12,
GEU,I,35,13,
MIN,I,35,14,
MAX,I,35,15,
ADD,R,40,0,0
NADD,R,40,1,0
AND,R,40,2,0
CAND,R,40,3,0
OR,R,40,4,0
COR,R,40,5,0
XOR,R,40,6,0
SET,R,40,7,0
EQ,R,40,8,0
NE,R,40,9,0
LT,R,40,10,0
GE,R,40,11,0
LTU,R,40,12,0
GEU,R,40,13,0
MIN,R,40,14,0
MAX,R,40,15,0
SHL,R,40,0,1
SHR,R,40,1,1
SAR,R,40,2,1
ROR,R,40,3,1
MUL,R,40,8,1
DIV,R,40,12,1
MOD,R,40,13,1
DIVU,R,40,14,1
MODU,R,40,15,1
