Instruction,Format,Opcode,Funct,x
BEQI,B,8,99,99
BNEI,B,9,99,99
BLTI,B,10,99,99
BGEI,B,11,99,99
BLTUI,B,12,99,99
BGEUI,B,13,99,99
JR,B,14,99,99
JALR,B,15,99,99
BEQ,B,16,99,99
BNE,B,17,99,99
BLT,B,18,99,99
BGE,B,19,99,99
BLTU,B,20,99,99
BGEU,B,21,99,99
LOOP,B,22,99,99
LOOPD,B,23,99,99
LBUI,I,24,0,99
LHUI,I,24,1,99
LWUI,I,24,2,99
LDUI,I,24,3,99
LBI,I,24,4,99
LHI,I,24,5,99
LWI,I,24,6,99
LDI,I,24,7,99
SBI,I,25,0,99
SHI,I,25,1,99
SWI,I,25,2,99
SDI,I,25,3,99
ADDI,I,32,0,99
NADDI,I,32,1,99
ANDI,I,32,2,99
CANDI,I,32,3,99
ORI,I,33,4,99
CORI,I,33,5,99
XORI,I,33,6,99
SETI,I,33,7,99
EQI,I,34,8,99
NEI,I,34,9,99
LTI,I,34,10,99
GEI,I,34,11,99
LTUI,I,35,12,99
GEUI,I,35,13,99
MINI,I,35,14,99
MAXI,I,35,15,99
SHLI,I,37,0,99
SHRI,I,37,1,99
SARI,I,37,2,99
RORI,I,37,3,99
MULI,I,37,8,99
DIVI,I,37,12,99
MODI,I,37,13,99
DIVUI,I,37,14,99
MODUI,I,37,15,99
RETADD,I,36,0,99
RETNADD,I,36,1,99
RETAND,I,36,2,99
RETCAND,I,36,3,99
RETOR,I,36,4,99
RETCOR,I,36,5,99
RETXOR,I,36,6,99
RETSET,I,36,7,99
RETEQ,I,36,8,99
RETNE,I,36,9,99
RETLT,I,36,10,99
RETGE,I,36,11,99
RETLTU,I,36,12,99
RETGEU,I,36,13,99
RETMIN,I,36,14,99
RETMAX,I,36,15,99
J,J,2,99,99
JAL,J,3,99,99
LBU,R,26,0,99
LHU,R,26,1,99
LWU,R,26,2,99
LDU,R,26,3,99
LB,R,26,4,99
LH,R,26,5,99
LW,R,26,6,99
LD,R,26,7,99
SB,R,27,0,99
SH,R,27,1,99
SW,R,27,2,99
SD,R,27,3,99
ADD,R,40,0,0
NADD,R,40,1,0
AND,R,40,2,0
CAND,R,40,3,0
OR,R,40,4,0
COR,R,40,5,0
XOR,R,40,6,0
SET,R,40,7,0
EQ,R,40,8,0
NE,R,40,9,0
LT,R,40,10,0
GE,R,40,11,0
LTU,R,40,12,0
GEU,R,40,13,0
MIN,R,40,14,0
MAX,R,40,15,0
SHL,R,40,0,1
SHR,R,40,1,1
SAR,R,40,2,1
ROR,R,40,3,1
MUL,R,40,8,1
DIV,R,40,12,1
MOD,R,40,13,1
DIVU,R,40,14,1
MODU,R,40,15,1
ADDS,R,40,0,2
NADDS,R,40,1,3
